^SAMPLE = GSM291396
!Sample_title = CIN lesion grade 2/3 VUMC_HGCIN37_b45_s62
!Sample_geo_accession = GSM291396
!Sample_status = Public on Feb 20 2009
!Sample_submission_date = May 28 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = uterine cervix
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cervical intraepithelial neoplasia (CIN) lesion, grade 2/3
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Van zeeburg et al, Cancer Res, volume 65, p 1271-76, 2005
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Pooled DNA from the blood of 10 normal male individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = as described in Wilting et al, J Pathol, volume 209, p 220-30
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as ch1, Cy5 in stead of Cy3
!Sample_hyb_protocol = Hybridisations were performed as described by Snijders et al, Nat Genetics, volume 29, p 263-4. Both pre-hybridisation and hybridisation were performed in a hybridisation station (HybStation12 â Perkin Elmer Life Sciences).
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = CIN3 lesion, patient age 47 years, contains high risk Human Papilloma Virus
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the May 2004 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL2843
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE11573
!Sample_data_row_count = 19200
#ID_REF = 
#Signal Median CH1 = Spot signal in channel 1 (Cy3)
#Background Median CH1 = Background signal channel 1 (Cy3)
#Signal Median CH2 = Spot signal in channel 2 (Cy5)
#Background Median CH2 = Background signal channel 2 (Cy5)
#Flag = A flag to highlight spots that suffer from poor printing and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#Coriell = BAC clones misbehaving in hybridisations with Coriell cell lines were flagged (0 acceptable; 1 not acceptable)
#VALUE = Normalized log2 ratio of the test (Cy3)/ reference (Cy5) sample
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Flag	Coriell	VALUE
1	765.5	729	835.5	361	3	0	
2	638	537.5	899	289.5	0	0	
3	589.5	501	848.5	278.5	0	0	
4	652	487	1647	346.5	0		
5	638	480	1656	343	0		
6	586.5	410.5	1670	314.5	0		
7	5331	370	21688.5	243.5	0	0	-0.008052358
8	4859	361	20262.5	236	0	0	-0.008052358
9	5058.5	363.5	21025.5	221.5	0	0	-0.008052358
10	395	374.5	263	200.5	0		
11	372.5	353.5	256.5	201	0		
12	363	344	243	206	0		
13	479	331	799	200	0	0	0.060688203
14	444.5	339	636.5	202	0	0	0.060688203
15	682	406	1430	206	0	0	0.060688203
16	416.5	388	229	205	0		
17	358	344	227	201	0		
18	365	353	226.5	204	0		
19	408	358	306	202	0	0	
20	427.5	362	362	200	0	0	
!sample_table_end
