^SAMPLE = GSM324923
!Sample_title = carcinomatous component
!Sample_geo_accession = GSM324923
!Sample_status = Public on Oct 01 2008
!Sample_submission_date = Sep 29 2008
!Sample_last_update_date = Sep 30 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = carcinomatous component of a carcinosarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = FFPE material, described in Vekony et al, Oral Oncology 2008 in press
!Sample_characteristics_ch1 = carcinomatous component macrodissected
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = standard phenol/chloroform extraction
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = according to standard protocol ENZO BioArrayâ¢ CGH Labeling System (Farmingdale, NY, USA)
!Sample_source_name_ch2 = reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Pooled DNA from the blood of 10 normal male individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = as described in Wilting et al, J Pathol, volume 209, p 220-30
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = according to standard protocol ENZO BioArrayâ¢ CGH Labeling System (Farmingdale, NY, USA)
!Sample_hyb_protocol = hybridizations were performed according to the manufacturer's instructions (Agilent Technologies)
!Sample_scan_protocol = Microarray Scanner G2565AB (Agilent Technologies), default settings
!Sample_description = 500 ng of the carcinomatous component of a salivary gland carcinosarcoma has been hybridized to a 4x44k oligo array 
!Sample_data_processing = Spots were quantified in Feature Extraction software version 9.1 (Agilent Technologies) using default settings.
!Sample_data_processing =  
!Sample_data_processing =   
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE12958
!Sample_data_row_count = 45214
#ID_REF = 
#signal median CH1 = Spot signal in channel 1 (Cy3)
#signal median CH2 = Spot signal in channel 2 (Cy5)
#background median CH1 = Background signal channel 1 (Cy3)
#background median CH2 = Background signal channel 2 (Cy5)
#VALUE = Normalized value of the log2ratio (Cy3/Cy5)
!sample_table_begin
ID_REF	signal median CH1	signal median CH2	background median CH1	background median CH2	VALUE
1	3285	7193	54	76	
2	62.5	99	55	75	
3	64	99	54	77	
4	61	91	54	75	
5	63	94	55	74	
6	66	98.5	54	74	
7	65	90.5	53	76	
8	63	96.5	55	77	
9	66	100	54	79	
10	64	91	55	79	
11	63	94	56	78	
12	658.5	1187.5	55	78	0.192
13	652	1838	55	77	-0.49
14	3444	7020.5	55	76	0.03
15	529	979	54	74	0.14
16	708.5	1640.5	55	75	-0.19
17	1142	2370.5	55	77	
18	520	769.5	55	76	0.493
19	309	665	54	75	-0.14
20	502	821	54	76	0.336
!sample_table_end
