^SAMPLE = GSM552421
!Sample_title = GIST sample 20
!Sample_geo_accession = GSM552421
!Sample_status = Public on Jun 20 2010
!Sample_submission_date = Jun 07 2010
!Sample_last_update_date = Jun 08 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Human GIST tissue 20
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_treatment_protocol_ch1 = No treatment was carried out.
!Sample_growth_protocol_ch1 = A total of 25 GIST specimens were obtained from surgical resection.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from fresh frozen tissue specimens using the standard phenol-chloroform procedure.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Five hundred nanograms of genomic DNA was labeled using a Genomic DNA Enzymatic Labeling Kit (Agilent technologies) according to manufacturer's instruction. Tumor DNA was labeled with Cy5 and gender-matched reference DNA (Promega) was labeled with Cy3.
!Sample_source_name_ch2 = Human Genomic DNA (Promega)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = gender: male
!Sample_treatment_protocol_ch2 = No treatment was carried out.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = not applicable
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Five hundred nanograms of genomic DNA was labeled using a Genomic DNA Enzymatic Labeling Kit (Agilent technologies) according to manufacturer's instruction. Tumor DNA was labeled with Cy5 and gender-matched reference DNA (Promega) was labeled with Cy3.
!Sample_hyb_protocol = Hybridization was performed using an aCGH/ChIP-on-chip Hybridization Kit (Agilent technologies) according to manufacturer's instruction.
!Sample_scan_protocol = Array was scanned with an Agilent G2565BA Microarray Scanner.
!Sample_data_processing = Agilent Feature Extraction Software (v 9.5) was used for background subtraction and LOWESS normalization.
!Sample_platform_id = GPL4093
!Sample_contact_name = Hiromu,,Suzuki
!Sample_contact_email = hsuzuki@sapmed.ac.jp
!Sample_contact_phone = +81-11-611-2111
!Sample_contact_department = Department of Molecular Biology
!Sample_contact_institute = Sapporo Medical University
!Sample_contact_address = S1, W17, Chuo-ku
!Sample_contact_city = Sapporo
!Sample_contact_state = Hokkaido
!Sample_contact_zip/postal_code = 060-8556
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM552nnn/GSM552421/suppl/GSM552421_GIST20_OF141_H.txt.gz
!Sample_series_id = GSE22185
!Sample_data_row_count = 104702
#ID_REF = 
#VALUE = normalized log10 ratio (Cy5/Cy3) representing test/reference
!sample_table_begin
ID_REF	VALUE
1	-1.71E-01
2	0.00E+00
3	0.00E+00
4	1.15E-01
5	1.58E-01
6	-1.02E-01
7	-2.11E-01
8	-1.82E-01
9	1.70E-01
10	-1.65E-01
11	-8.26E-02
12	7.35E-03
13	-3.63E-01
14	8.70E-03
15	7.58E-02
16	2.23E-03
17	-1.11E-01
18	-2.84E-01
19	2.45E-01
20	3.01E-01
!sample_table_end
