^SAMPLE = GSM1509903
!Sample_title = Clonal B-Cells from IgM Monoclonal Gammopathy of Undetermined Significance 70-101677_copy_number
!Sample_geo_accession = GSM1509903
!Sample_status = Public on May 06 2015
!Sample_submission_date = Sep 22 2014
!Sample_last_update_date = May 06 2015
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Bone marrow
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: Bone marrow
!Sample_characteristics_ch1 = cell type: Clonal B-Lymphocytes
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was digested with Nsp I and Sty I restriction enzymes, ligated to adapters with T4 DNA ligase and amplified. PCR products were concentrated and fragmented (DNAsal), and then end-labeled with deoxynucleotidil transferase
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Labelling and hybridizations were performed according to protocols from Affymetrix
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_data_processing = ChAS console from Affymetrix was used to assess genome wide copy number frequencies. Log2 Ratio copy number values with associated chromosome positions are available on the series record.
!Sample_platform_id = GPL18637
!Sample_contact_name = Bruno,,Paiva
!Sample_contact_email = bpaiva@unav.es
!Sample_contact_institute = Clinica Universidad de Navarra
!Sample_contact_address = Av. Pio XII, 55
!Sample_contact_city = Pamplona
!Sample_contact_zip/postal_code = 31008
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1509nnn/GSM1509903/suppl/GSM1509903_MGUS_70_101677.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1509nnn/GSM1509903/suppl/GSM1509903_MGUS_70_101677.cychp.gz
!Sample_series_id = GSE61650
!Sample_series_id = GSE61651
!Sample_data_row_count = 750605
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	0.400741	0.251601	1.961376
C-4WYLN	0.069231	0.227420	1.962631
C-7ONNE	0.051242	0.154870	1.963371
C-6HYCN	0.244717	0.132041	1.964011
C-7RZQQ	0.191858	-0.014742	1.963580
C-7SEBI	-0.189893	-0.034949	1.963014
C-7RXVK	-0.203776	-0.110710	1.962719
C-4LHKS	-0.085671	-0.127085	1.962682
C-7SEGS	0.135907	0.153483	1.963242
C-4LLXK	0.157493	0.141980	1.964142
C-5YZUW	-0.074004	0.060300	1.964037
C-7SBKQ	0.190925	0.054557	1.964664
C-4GLAA	0.013542	-0.105512	1.964794
C-7QEGW	-0.343400	-0.104819	1.965264
C-4EDDJ	0.017469	-0.194060	1.964714
C-7LAAJ	-0.278423	-0.186418	1.964842
C-6HOEB	-0.067189	0.016817	1.963992
C-6SCVY	0.392407	0.031725	1.963826
C-7SFRW	-0.207681	-0.064765	1.964013
C-7RYRT	-0.176202	-0.042480	1.963052
!sample_table_end
