^SAMPLE = GSM157012
!Sample_title = PMBCL13
!Sample_geo_accession = GSM157012
!Sample_status = Public on Aug 15 2007
!Sample_submission_date = Jan 18 2007
!Sample_last_update_date = Aug 15 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = PMBCL13
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = PMBCL tumor DNA
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 3
!Sample_label_protocol_ch1 = Random prime reaction
!Sample_source_name_ch2 = Male pooled genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Male pooled genomic reference DNA
!Sample_biomaterial_provider_ch2 = Novagen
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cyanine 5
!Sample_label_protocol_ch2 = Random prime reaction
!Sample_hyb_protocol = Hybridization solution: 80% DIG-easy, 10% sheared herring sperm DNA, 10% yeast tRNA.  Probe was blocked using 100ug human CoT-1 DNA and hybridized to the slide at 45C for ~36 hours under a 24x60mm coverslip in a hybrization cassette.  Wash: 4X 0.1% SDS/0.1X SSC at 45C.  Rinse: 4X 0.1X SSC, room temp.  Dried with an oil-free air stream.
!Sample_scan_protocol = Scanned at 10um resolution on a Applied Precision Instruments AutoE CCD-based scanner.
!Sample_description = tumor DNA (cy3) hybridized against normal male pooled reference DNA (cy5)
!Sample_data_processing = Data was obtained from the scanned image files generated using SoftWoRx Tracker software from Applied Precision.  Obtained data was normalized using a three-step normalization procedure; (Khojasteh et al BMC Bioinformatics 2005;6:274).  
!Sample_platform_id = GPL2735
!Sample_contact_name = Lindsey,,Kimm
!Sample_contact_email = lkimm@bccrc.ca
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics
!Sample_contact_institute = BC Cancer Research Centre
!Sample_contact_address = 675 W10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = British Columbia
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7383
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (Cy3) = Mean spot pixel intensity - cy3 channel
#Spot Mean Intensity (Cy5) = mean spot pixel intensity - cy5 channel
#Background Median Intensity (Cy3) = median background pixel intensity - cy3 channel
#Background Median Intensity (Cy5) = median background pixel intensity - cy5 channel
#Spot Normalized Intensity (Cy3) = spot mean with background subtracted - cy3 channel
#Spot Normalized Intensity (Cy5) = spot mean with background subtracted - cy5 channel
#Spot SNR (Cy3) = signal to noise ratio - cy3 channel
#Spot SNR (Cy5) = signal to noise ratio - cy5 channel
#Spot Ratio (Cy3) = Cy3/Cy5 ratio
#Spot Ratio (Cy5) = Cy5/Cy3 ratio
#Spot Log2 Ratio (Cy3) = Log2 ratio (Cy3/Cy5) - global mean set to 0
#VALUE = normalized log2 ratio (Cy3/Cy5)
!sample_table_begin
ID_REF	Spot Mean Intensity (Cy3)	Spot Mean Intensity (Cy5)	Background Median Intensity (Cy3)	Background Median Intensity (Cy5)	Spot Normalized Intensity (Cy3)	Spot Normalized Intensity (Cy5)	Spot SNR (Cy3)	Spot SNR (Cy5)	Spot Ratio (Cy3)	Spot Ratio (Cy5)	Spot Log2 Ratio (Cy3)	VALUE
1	8232.77	7600.76	860	2024.5	7372.77	5576.26	259.2003	138.3152	1.09913	0.909779	0.136362	0.134319076
2	4064.16	4584.3	859	2028	3205.16	2556.301	142.4031	69.2517	1.042314	0.9593708	0.05978956	0.016691901
3	4849.41	5321.3	863	2032.5	3986.41	3288.8	179.0759	95.1632	1.007639	0.9923843	0.01097917	-0.038869269
4	5935.71	6158.26	864	2037	5071.71	4121.26	189.0677	102.1905	1.023024	0.9774604	0.03283992	-0.024086899
5	4433.85	4664.94	858	2032	3575.85	2632.939	150.7189	81.9763	1.129016	0.8856963	0.1750661	0.124471315
6	3896.31	4488.69	852.5	2032.5	3043.813	2456.187	131.2431	83.1777	1.030191	0.9706599	0.04291224	-0.009264333
7	5243.48	5842.71	859	2044.5	4384.48	3798.21	163.1961	110.1616	0.9596224	1.04204	-0.05946112	-0.125407355
8	5887.46	5971.15	875	2060	5012.46	3911.15	161.1602	106.9154	1.065387	0.9385933	0.09137797	0.013232839
9	4822.32	5316.86	878	2055	3944.32	3261.86	136.1731	71.6531	1.005237	0.9947555	0.007536077	-0.074818844
10	5740.2	5980.48	868	2015	4872.2	3965.48	191.8005	104.8719	1.021388	0.979026	0.03053101	-0.062013441
11	5631.06	5969.44	873	2030.5	4758.06	3938.94	188.0878	96.0794	1.004181	0.9958022	0.006018931	-0.088423598
12	5053.22	5602.22	872	2040.5	4181.22	3561.72	157.6925	99.5894	0.975898	1.024662	-0.03519767	-0.118744933
13	8386.76	8460.12	888.5	2048.5	7498.26	6411.62	228.4461	209.2634	0.9721961	1.028563	-0.0406808	-0.124026865
14	4290.24	4782.83	890.5	2037.5	3399.74	2745.329	109.8406	86.9423	1.029468	0.9713414	0.04189958	-0.036044448
15	6048.9	5862.05	887.5	2042.5	5161.4	3819.55	153.8389	120.7931	1.123355	0.8901597	0.167814	0.078389595
16	6891.61	6582.69	879.5	2033	6012.11	4549.69	224.518	152.0249	1.098516	0.9102871	0.1355564	0.050473671
17	5127.01	5458.11	883	2035	4244.01	3423.11	137.405	84.1864	1.030664	0.9702145	0.04357436	-0.035946339
18	4956.41	5132.04	879.5	2026.5	4076.91	3105.536	139.2779	70.5971	1.091329	0.9162821	0.1260862	-0.26310256
19	4200.11	4698.3	888	2044	3312.11	2654.301	91.1684	68.1242	1.037327	0.9639831	0.0528703	-0.004982018
20	4236.82	4775.46	882	2046	3354.82	2729.463	125.9905	78.5102	1.021769	0.9786608	0.03106921	-0.015711176
!sample_table_end
