^SAMPLE = GSM185280
!Sample_title = Thigh, NOS, Leiomyosarcoma, NOS (12993285)
!Sample_geo_accession = GSM185280
!Sample_status = Public on May 08 2007
!Sample_submission_date = Apr 27 2007
!Sample_last_update_date = May 07 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = TB2699DF1T20
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tissue
!Sample_characteristics_ch1 = TB2699DF1T20
!Sample_growth_protocol_ch1 = "Thigh, NOS"; Leiomyosarcoma, NOS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_source_name_ch2 = pooled reference
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = pooled reference
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_hyb_protocol = DNA was resuspended and hybridized to the array for 72h at 37oC on a rotating platform. Additional details are found in: Greshock, J, Naylor, TL, Margolin, A, et al. 1-Mb resolution array-based comparative genomic hybridization using a BAC clone set optimized for cancer gene analysis. Genome Res 2004; 14: 179-87
!Sample_scan_protocol = Images were scanned with an Axon 4500 microarray scanner (Axon, Union City, CA) and analyzed with GenePix 3.0 software (Axon).
!Sample_description = "Thigh, NOS"; Leiomyosarcoma, NOS; University of Pennsylvania; 10/12/2004
!Sample_data_processing = All spots were subjected to a pin-tip normalization.
!Sample_platform_id = GPL4894
!Sample_contact_name = Joel,,Greshock
!Sample_contact_department = Translational Medicine, Oncology
!Sample_contact_institute = GlaxoSmithKline
!Sample_contact_address = 2301 Renaissance Blvd.
!Sample_contact_city = King of Prussia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19406
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM185nnn/GSM185280/suppl/GSM185280.gpr.gz
!Sample_series_id = GSE7692
!Sample_data_row_count = 3847
#ID_REF = 
#SLIDE = Slide/Exeriment Identifier
#Dia = Spot Diameter in Pixels
#F635_Median = Median foreground measurement of Cy5 channel
#F635_Mean = Mean foreground measurement of Cy5 channel
#F635_SD = Standard Deviation of foreground measurement of Cy5 channel
#B635_Median = Median background of Cy5 channel
#B635_Mean = Mean background of Cy5 channel
#B635_SD = Standard deviation of background of Cy5 channel
#PCT_GT_B635_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B635_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F635_PCT_Sat = Percent of pixels that are saturated for Cy5 channel
#F532_Median = Median foreground measurement of Cy3 channel
#F532_Mean = Mean foreground measurement of Cy3 channel
#F532_SD = Standard Deviation of foreground measurement of Cy3 channel
#B532_Median = Median background of Cy3 channel
#B532_Mean = Mean background of Cy3 channel
#B532_SD = Standard deviation of background of Cy3 channel
#PCT_GT_B532_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B532_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F532_PCT_Sat = Percent of pixels that are saturated for Cy3 channel
#Ratio_of_Medians_532_635 = Ratio of median pixel values (Cy3/Cy5)
#Ratio_of_Means_532_635 = Ratio of mean pixel values (Cy3/Cy5)
#Median_of_Ratios_532_635 = Median of all individual pixel ratios (Cy3/Cy5)
#Mean_of_Ratios_532_635 = Mean of all individual pixel ratios (Cy3/Cy5)
#Ratios_SD_532_635 = Standard deviation of all individual pixel ratios (Cy3/Cy5)
#Rgn_Ratio_532_635 = Red to green ratio
#Rgn_R2_532_635 = Red to green correlation
#F_Pixels = The number of pixels analyzed as foreground (both Cy3 and Cy5 uses same exact pixels)
#B_Pixels = The number of pixels analyzed as background (same for Cy3 and Cy5)
#Sum_of_Medians = Sum of Pixel intensity medians
#Sum_of_Means = Sum of Pixel intensity means
#Log_Ratio_532_635 = Log base 2 of the Cy3/Cy5 ratio
#F635_Median_B635 = Median Foreground intensity minus Background intensity, Cy5 channel
#F532_Median_B532 = Median Foreground intensity minus Background intensity, Cy3 channel
#F635_Mean_B635 = Mean Foreground intensity minus Background intensity, Cy5 channel
#F532_Mean_B532 = Mean Foreground intensity minus Background intensity, Cy3 channel
#Ratio_Median = Median Cy3/Cy5 ratio (using the Background corrected ratio of medians) for that specific print tip
#Cy3_corrected = Adjusted background corrected intensity (by print tip)= F532_Median_B532 / Ratio_Median_Tip
#VALUE = log(GREENsignal/REDsignal) per feature (processed signals used).
#A = mean log intensity
#Sig_var_mean_Cy3 = Signal variation from mean intsity for Cy3 channel
#Sig_var_mean_Cy5 = Signal variation from mean intsity for Cy5 channel
#Mean_med_corr_Cy3 = Mean-Median correlation for Cy3 channel
#Mean_med_corr_Cy5 = Mean-Median correlation for Cy5 channel
!sample_table_begin
ID_REF	SLIDE	Dia	F635_Median	F635_Mean	F635_SD	B635_Median	B635_Mean	B635_SD	PCT_GT_B635_1SD	PCT_GT_B635_2SD	F635_PCT_Sat	F532_Median	F532_Mean	F532_SD	B532_Median	B532_Mean	B532_SD	PCT_GT_B532_1SD	PCT_GT_B532_2SD	F532_PCT_Sat	Ratio_of_Medians_532_635	Ratio_of_Means_532_635	Median_of_Ratios_532_635	Mean_of_Ratios_532_635	Ratios_SD_532_635	Rgn_Ratio_532_635	Rgn_R2_532_635	F_Pixels	B_Pixels	Sum_of_Medians	Sum_of_Means	Log_Ratio_532_635	F635_Median_B635	F532_Median_B532	F635_Mean_B635	F532_Mean_B532	Ratio_Median	Cy3_corrected	VALUE	A	Sig_var_mean_Cy3	Sig_var_mean_Cy5	Mean_med_corr_Cy3	Mean_med_corr_Cy5
RP11-458D3	12993285	135	4004	3849.5	851	126.5	156	195.5	100	99	0	2811.5	2673	625	209	218.5	96.5	100	100	0	0.6715	0.663	0.6705	0.6515	1.2325	0.668	0.9615	138	662	6480	6187	-0.575	3877.5	2602.5	3723	2464	0.698	3728.5100286533	0.962094687014058	11.6331244107989	0.765649846135929	0.776801045140859	0.947126826153549	0.959593126264694
RP11-69E9	12993285	130	4374	4445	806.5	128.5	201.5	382	100	100	0	3857	3963.5	899	231.5	298	367.5	100	100	0	0.8555	0.867	0.8575	0.8595	1.162	0.892	0.9425	120	709	7871	8048.5	-0.2255	4245.5	3625.5	4316.5	3732	0.7465	4856.66443402545	1.14615394699364	11.9347725452247	0.77178994436648	0.818745553304627	0.972151581755384	0.984932088285229
RP11-67E18	12993285	100	389.5	397.5	102.5	130	151	140.5	91	40.5	0	459.5	456.5	119.5	252	262.5	91.5	82.5	56	0	0.8015	0.765	0.804	0.727	2.1365	0.8	0.364	80	516	467	472	-0.3365	259.5	207.5	267.5	204.5	0.755	274.834437086093	1.06193410537003	7.85130159571085	0.739063026626221	0.741975308641975	0.958360054970224	0.970029627973279
RP11-291C17	12993285	130	1669.5	1725.5	629.5	123.5	153.5	184	100	100	0	1448	1533	572.5	229.5	252	155.5	99.5	97.5	0	0.789	0.815	0.7905	0.7945	1.272	0.8595	0.913	120	749	2764.5	2905.5	-0.3425	1546	1218.5	1602	1303.5	0.734	1660.08174386921	1.07477421601224	10.4212658875065	0.625508504027148	0.632465893194429	0.934959349593496	0.966110054252096
RP11-506N24	12993285	130	1983	1831	547.5	125	184	547.5	93	80	0	1355	1279	369	216.5	233.5	146.5	99	96.5	0	0.6125	0.622	0.6165	0.611	1.3095	0.4895	0.777	120	661.5	2996.5	2768.5	-0.707	1858	1138.5	1706	1062.5	0.697	1633.42898134863	0.878899099992053	10.5034947118234	0.708796434334896	0.698482340948612	0.931625825182854	0.917264329965954
RP11-262N9	12993285	125	2309	2258	496.5	131	150	130.5	100	100	0	1965	1901	484	261.5	273.5	99.5	99	99	0	0.785	0.773	0.7835	0.7555	1.3175	0.7865	0.9155	120	658.5	3881.5	3766.5	-0.351	2178	1703.5	2127	1639.5	0.755	2256.29139072848	1.03944265844154	10.9081783129974	0.746197166872705	0.781500056750468	0.963048179050011	0.977945874462438
RP11-498J1	12993285	125	1880	1864	487	131	154	153.5	100	100	0	1696.5	1712	528.5	228.5	243	91	100	99.5	0	0.835	0.852	0.8485	0.8225	1.4095	0.8885	0.8695	120	643.5	3217	3216.5	-0.2645	1749	1468	1733	1483.5	0.737	1991.85888738128	1.13296330663437	10.6367726095464	0.692705108359133	0.734566660545338	0.988469194554132	0.990496709186689
RP11-335F1	12993285	140	1177.5	1165.5	331	130	159.5	180.5	100	95.5	0	933	953.5	327	254	273	155.5	97	88.5	0	0.653	0.6775	0.6495	0.648	1.5705	0.724	0.7725	156	728	1726.5	1735	-0.6185	1047.5	679	1035.5	699.5	0.755	899.337748344371	0.864781424442444	9.71601083691201	0.656192275260181	0.71610076111425	0.97114053978808	0.976199073183654
RP11-260B11	12993285	130	1581.5	1748	827.5	130.5	154.5	151	100	100	0	1057	1194.5	589	217.5	230	103.5	100	100	0	0.579	0.6015	0.5915	0.5845	1.364	0.613	0.842	120	667	2290.5	2594.5	-0.7885	1451	839.5	1617.5	977	0.693	1211.39971139971	0.835304565698801	10.1048193592424	0.536556700585477	0.559044628605518	0.882277397260274	0.905298174245575
RP11-367E10	12993285	140	1346	1347.5	560.5	130	153.5	168.5	99.5	98	0	1002.5	1017.5	474	242	259.5	124	97.5	95	0	0.625	0.6375	0.6	0.6035	1.468	0.695	0.843	156	698	1976.5	1993	-0.678	1216	760.5	1217.5	775.5	0.755	1007.28476821192	0.827891230759806	9.90506228017167	0.542059627218373	0.594326340279789	0.981560283687944	0.974358489740212
CTD-2341I10	12993285	130	2038.5	1970.5	460	128	154.5	205	100	100	0	1480.5	1491	402.5	224	240.5	110.5	100	100	0	0.6585	0.6905	0.665	0.6775	1.2905	0.703	0.9005	120	664.5	3167	3109.5	-0.603	1910.5	1256.5	1842.5	1267	0.7465	1683.18821165439	0.882459746782916	10.5953467654926	0.729669750081142	0.76453034715841	0.989740441294654	0.96281672082344
RP11-490K2	12993285	130	2719.5	2504	831.5	135.5	165	313	100	99	0	1642	1554.5	533.5	211.5	220.5	114	100	100	0	0.553	0.5665	0.56	0.555	1.261	0.562	0.908	120	675	4014.5	3711.5	-0.855	2584	1430.5	2368.5	1343	0.697	2052.36728837876	0.793481291119305	10.9060408664475	0.65667460013496	0.667850268185148	0.940591927026544	0.918107322441432
RP11-491P10	12993285	120	2727.5	2580.5	762.5	128	153.5	203	99.5	98	0	2499.5	2495.5	725	252	262.5	108.5	100	100	0	0.863	0.914	0.9	0.9175	1.2935	0.8995	0.884	120	613.5	4847	4696	-0.216	2599.5	2247.5	2452.5	2243.5	0.755	2976.82119205298	1.14323359020575	11.2356755313286	0.707164544083249	0.703258916093899	0.96191354376161	0.943436464147299
RP11-43H17	12993285	125	1942	1933.5	331	125.5	147	106.5	100	100	0	1771	1759.5	395	233	244.5	97	100	100	0	0.8465	0.8445	0.8295	0.8275	1.2515	0.8755	0.9165	120	651.5	3354.5	3334.5	-0.2395	1816.5	1538	1808	1526.5	0.7465	2060.28131279303	1.13432917107891	10.7039981676557	0.774204285902088	0.82707219438081	0.992676854701667	0.995319071239464
RP11-492D3	12993285	135	1542	1614	717.5	131	156.5	152	100	99	0	1247.5	1304	665	249.5	268.5	146	99	94	0	0.7075	0.711	0.697	0.677	1.452	0.78	0.8405	138	671	2409	2537.5	-0.5	1411	998	1483	1054.5	0.755	1321.85430463576	0.936825145381141	10.2126975085303	0.49238135854939	0.556122830963447	0.947111931876475	0.951754338088948
RP11-97J12	12993285	130	2445.5	2564	646	135.5	164.5	147.5	100	100	0	1703.5	1801	518.5	257.5	275	130	100	100	0	0.626	0.6355	0.6265	0.6245	1.2895	0.641	0.8975	120	675.5	3756	3972	-0.6755	2310	1446	2428.5	1543.5	0.755	1915.23178807947	0.829108548775659	10.835725605443	0.711982959366921	0.74804992199688	0.936913676761027	0.951208393541624
