^SAMPLE = GSM185430
!Sample_title = Ovary, Carcinoma, NOS (12891504)
!Sample_geo_accession = GSM185430
!Sample_status = Public on May 08 2007
!Sample_submission_date = Apr 27 2007
!Sample_last_update_date = May 07 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = TB2655DF1T10
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tissue
!Sample_characteristics_ch1 = TB2655DF1T10
!Sample_growth_protocol_ch1 = Ovary; Carcinoma, NOS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_source_name_ch2 = pooled reference
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = pooled reference
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_hyb_protocol = DNA was resuspended and hybridized to the array for 72h at 37oC on a rotating platform. Additional details are found in: Greshock, J, Naylor, TL, Margolin, A, et al. 1-Mb resolution array-based comparative genomic hybridization using a BAC clone set optimized for cancer gene analysis. Genome Res 2004; 14: 179-87
!Sample_scan_protocol = Images were scanned with an Axon 4500 microarray scanner (Axon, Union City, CA) and analyzed with GenePix 3.0 software (Axon).
!Sample_description = Ovary; Carcinoma, NOS; University of Pennsylvania; 4/16/2004
!Sample_data_processing = All spots were subjected to a pin-tip normalization.
!Sample_platform_id = GPL4894
!Sample_contact_name = Joel,,Greshock
!Sample_contact_department = Translational Medicine, Oncology
!Sample_contact_institute = GlaxoSmithKline
!Sample_contact_address = 2301 Renaissance Blvd.
!Sample_contact_city = King of Prussia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19406
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM185nnn/GSM185430/suppl/GSM185430.gpr.gz
!Sample_series_id = GSE7692
!Sample_data_row_count = 3560
#ID_REF = 
#SLIDE = Slide/Exeriment Identifier
#Dia = Spot Diameter in Pixels
#F635_Median = Median foreground measurement of Cy5 channel
#F635_Mean = Mean foreground measurement of Cy5 channel
#F635_SD = Standard Deviation of foreground measurement of Cy5 channel
#B635_Median = Median background of Cy5 channel
#B635_Mean = Mean background of Cy5 channel
#B635_SD = Standard deviation of background of Cy5 channel
#PCT_GT_B635_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B635_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F635_PCT_Sat = Percent of pixels that are saturated for Cy5 channel
#F532_Median = Median foreground measurement of Cy3 channel
#F532_Mean = Mean foreground measurement of Cy3 channel
#F532_SD = Standard Deviation of foreground measurement of Cy3 channel
#B532_Median = Median background of Cy3 channel
#B532_Mean = Mean background of Cy3 channel
#B532_SD = Standard deviation of background of Cy3 channel
#PCT_GT_B532_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B532_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F532_PCT_Sat = Percent of pixels that are saturated for Cy3 channel
#Ratio_of_Medians_532_635 = Ratio of median pixel values (Cy3/Cy5)
#Ratio_of_Means_532_635 = Ratio of mean pixel values (Cy3/Cy5)
#Median_of_Ratios_532_635 = Median of all individual pixel ratios (Cy3/Cy5)
#Mean_of_Ratios_532_635 = Mean of all individual pixel ratios (Cy3/Cy5)
#Ratios_SD_532_635 = Standard deviation of all individual pixel ratios (Cy3/Cy5)
#Rgn_Ratio_532_635 = Red to green ratio
#Rgn_R2_532_635 = Red to green correlation
#F_Pixels = The number of pixels analyzed as foreground (both Cy3 and Cy5 uses same exact pixels)
#B_Pixels = The number of pixels analyzed as background (same for Cy3 and Cy5)
#Sum_of_Medians = Sum of Pixel intensity medians
#Sum_of_Means = Sum of Pixel intensity means
#Log_Ratio_532_635 = Log base 2 of the Cy3/Cy5 ratio
#F635_Median_B635 = Median Foreground intensity minus Background intensity, Cy5 channel
#F532_Median_B532 = Median Foreground intensity minus Background intensity, Cy3 channel
#F635_Mean_B635 = Mean Foreground intensity minus Background intensity, Cy5 channel
#F532_Mean_B532 = Mean Foreground intensity minus Background intensity, Cy3 channel
#Ratio_Median = Median Cy3/Cy5 ratio (using the Background corrected ratio of medians) for that specific print tip
#Cy3_corrected = Adjusted background corrected intensity (by print tip)= F532_Median_B532 / Ratio_Median_Tip
#VALUE = log(GREENsignal/REDsignal) per feature (processed signals used).
#A = mean log intensity
#Sig_var_mean_Cy3 = Signal variation from mean intsity for Cy3 channel
#Sig_var_mean_Cy5 = Signal variation from mean intsity for Cy5 channel
#Mean_med_corr_Cy3 = Mean-Median correlation for Cy3 channel
#Mean_med_corr_Cy5 = Mean-Median correlation for Cy5 channel
!sample_table_begin
ID_REF	SLIDE	Dia	F635_Median	F635_Mean	F635_SD	B635_Median	B635_Mean	B635_SD	PCT_GT_B635_1SD	PCT_GT_B635_2SD	F635_PCT_Sat	F532_Median	F532_Mean	F532_SD	B532_Median	B532_Mean	B532_SD	PCT_GT_B532_1SD	PCT_GT_B532_2SD	F532_PCT_Sat	Ratio_of_Medians_532_635	Ratio_of_Means_532_635	Median_of_Ratios_532_635	Mean_of_Ratios_532_635	Ratios_SD_532_635	Rgn_Ratio_532_635	Rgn_R2_532_635	F_Pixels	B_Pixels	Sum_of_Medians	Sum_of_Means	Log_Ratio_532_635	F635_Median_B635	F532_Median_B532	F635_Mean_B635	F532_Mean_B532	Ratio_Median	Cy3_corrected	VALUE	A	Sig_var_mean_Cy3	Sig_var_mean_Cy5	Mean_med_corr_Cy3	Mean_med_corr_Cy5
RP11-458D3	12891504	123.333333333333	5270.33333333333	5404.66666666667	1883.33333333333	830.333333333333	920.666666666667	1150	98	83	0	4363.66666666667	4410.66666666667	1499.66666666667	512.666666666667	542	299	100	100	0	0.869666666666667	0.854333333333333	0.781	0.868666666666667	1.69033333333333	0.807666666666667	0.716333333333333	120	644	8291	8472.33333333333	-0.202666666666667	4440	3851	4574.33333333333	3898	0.678333333333333	5687.83783783784	1.2893697405928	12.0111193765665	0.659677023137365	0.651422776911684	0.98138493155983	0.965748759422181
RP11-69E9	12891504	140	18807	19418.3333333333	7730	890	967	800	100	100	0	11760.6666666667	12250	5107.66666666667	583.666666666667	612.333333333333	265.333333333333	99.6666666666667	99.6666666666667	0	0.624333333333333	0.63	0.637	0.622333333333333	1.543	0.617333333333333	0.867	156	680.333333333333	29094	30194.6666666667	-0.68	17917	11177	18528.3333333333	11666.3333333333	0.709	15788.427711458	0.881051014412568	13.7875189803707	0.583001066149011	0.601172419936526	0.957942777687671	0.966508509164329
RP11-67E18	12891504	140	11528.6666666667	13380.6666666667	8429.66666666667	870.333333333333	929.666666666667	571.666666666667	99.6666666666667	99.3333333333333	0	6231	7340.66666666667	4853.66666666667	538.333333333333	567.666666666667	558	98	95.6666666666667	0	0.537	0.544	0.583	0.548666666666667	1.91333333333333	0.504	0.758666666666667	156	695.666666666667	16351	19312.6666666667	-0.902	10658.3333333333	5692.66666666667	12510.3333333333	6802.33333333333	0.702	8109.21177587844	0.765114897423609	12.9203300019852	0.33501454048281	0.366031352522302	0.835764206292283	0.850337931027242
RP11-291C17	12891504	146.666666666667	13435.6666666667	14432.6666666667	6770	881	1084.33333333333	1497.66666666667	99.6666666666667	96.3333333333333	0	8580	9093.66666666667	4693.66666666667	516	616.333333333333	889.666666666667	99.6666666666667	97	0	0.642333333333333	0.634	0.648	0.631	1.468	0.628666666666667	0.825666666666667	156	691	20618.6666666667	22129.3333333333	-0.638666666666667	12554.6666666667	8064	13551.6666666667	8577.66666666667	0.688333333333333	11714.4065008412	0.933785393246851	13.2959519644471	0.483489859499756	0.532594531630171	0.940064151843905	0.927470627998442
RP11-506N24	12891504	123.333333333333	5477.66666666667	5666.66666666667	1639.33333333333	909	949	397.666666666667	99.6666666666667	99.6666666666667	0	3484.66666666667	3694	1102	512.333333333333	528	179	99.6666666666667	99.3333333333333	0	0.648666666666667	0.667	0.673666666666667	0.669333333333333	1.38	0.644	0.866	120	693.666666666667	7541	7939.33333333333	-0.624666666666667	4568.66666666667	2972.33333333333	4757.66666666667	3181.66666666667	0.627666666666667	4722.82568774023	1.03414105812183	11.8320394570337	0.698156466325315	0.707394018420445	0.930991093647174	0.956794567528826
RP11-262N9	12891504	130	7568.66666666667	9514.33333333333	5260	867.333333333333	910.333333333333	410.333333333333	100	100	0	5280.33333333333	6326	3122	536.666666666667	561.333333333333	207	100	99.6666666666667	0	0.711666666666667	0.670666666666667	0.711333333333333	0.713	1.622	0.600666666666667	0.791	120	724.333333333333	11445	14436.3333333333	-0.492333333333333	6701.33333333333	4743.66666666667	8647	5789.33333333333	0.702	6757.35992402659	1.01368792948462	12.4348944910308	0.502149558522854	0.441969728570439	0.814820801386762	0.768716540731047
RP11-498J1	12891504	133.333333333333	17302	20454.3333333333	9651.66666666667	842.333333333333	1400	3580	100	98.6666666666667	0	11314	12827	5904.66666666667	510.666666666667	857.333333333333	2229.66666666667	99.3333333333333	96.3333333333333	0	0.656666666666667	0.628	0.657	0.618	1.64066666666667	0.592333333333333	0.741333333333333	132	751.333333333333	27263	31928.3333333333	-0.608333333333333	16459.6666666667	10803.3333333333	19612	12316.3333333333	0.735666666666667	14701.7965220561	0.893444431101294	13.7024492424484	0.539444649168882	0.528146457546042	0.876942566709793	0.839398875132145
RP11-335F1	12891504	143.333333333333	5299.66666666667	6505.33333333333	3569	895.333333333333	1067.66666666667	1103.33333333333	99.3333333333333	87.3333333333333	0	4333.66666666667	5105.33333333333	2547.33333333333	540	633	662.666666666667	99.6666666666667	96.6666666666667	0	0.861	0.814333333333333	0.848333333333333	0.845333333333333	1.521	0.7	0.738333333333333	156	661.666666666667	8198	10175.3333333333	-0.215666666666667	4404.33333333333	3793.66666666667	5610	4565.33333333333	0.702	5404.08357075024	1.22666493144079	11.9959916306301	0.502708428127372	0.451495052675497	0.831631095663577	0.785523486077078
RP11-260B11	12891504	116.666666666667	2720.33333333333	2893	1334	890.666666666667	925.333333333333	392.666666666667	96.6666666666667	91.6666666666667	0	1888.33333333333	1975.33333333333	969.666666666667	533	547.333333333333	180.333333333333	98.6666666666667	95	0	0.741333333333333	0.72	0.707333333333333	0.714333333333333	1.987	0.635333333333333	0.603666666666667	106.666666666667	616	3185	3444.66666666667	-0.432333333333333	1829.66666666667	1355.33333333333	2002.33333333333	1442.33333333333	0.644	2104.79507351425	1.15187598487707	10.6197746000756	0.518449856628705	0.546169370507202	0.941666597994914	0.914786986793215
RP11-367E10	12891504	145	6457	9283	6942	958.5	1132	1377.5	100	96	0	4517	6253	4832.5	541.5	635.5	816.5	99	98	0	0.723	0.6915	0.732	0.706	1.584	0.639	0.6765	156	712	9474	14036	-0.468	5498.5	3975.5	8324.5	5711.5	0.702	5663.10541310541	1.03010259919218	12.1903843336457	0.229016624983424	0.259578030438618	0.698861849129799	0.669859462679004
CTD-2341I10	12891504	136.666666666667	7821.66666666667	8672.66666666667	3538.33333333333	851.333333333333	938.333333333333	638	99.6666666666667	99	0	5402.33333333333	6010	2492	524.333333333333	562.666666666667	387.333333333333	98.3333333333333	98	0	0.700666666666667	0.701666666666667	0.720333333333333	0.694	1.47966666666667	0.678666666666667	0.841	144	787	11848.3333333333	13307	-0.515333333333333	6970.33333333333	4878	7821.33333333333	5485.66666666667	0.709	6881.63656769717	0.987400751672587	12.509183018347	0.585888454272753	0.59180710339284	0.889260801434897	0.891163843675648
