^SAMPLE = GSM186568
!Sample_title = Unknown primary site, Embryonal rhabdomyosarcoma (12521791)
!Sample_geo_accession = GSM186568
!Sample_status = Public on May 08 2007
!Sample_submission_date = May 02 2007
!Sample_last_update_date = May 07 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = TB1560DF1T10
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tissue
!Sample_characteristics_ch1 = TB1560DF1T10
!Sample_growth_protocol_ch1 = Unknown primary site; Embryonal rhabdomyosarcoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_source_name_ch2 = pooled male
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = pooled male
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_hyb_protocol = DNA was resuspended and hybridized to the array for 72h at 37oC on a rotating platform. Additional details are found in: Greshock, J, Naylor, TL, Margolin, A, et al. 1-Mb resolution array-based comparative genomic hybridization using a BAC clone set optimized for cancer gene analysis. Genome Res 2004; 14: 179-87
!Sample_scan_protocol = Images were scanned with an Axon 4500 microarray scanner (Axon, Union City, CA) and analyzed with GenePix 3.0 software (Axon).
!Sample_description = Unknown primary site; Embryonal rhabdomyosarcoma; University of Pennsylvania; 1/27/2003
!Sample_data_processing = All spots were subjected to a pin-tip normalization.
!Sample_platform_id = GPL4894
!Sample_contact_name = Joel,,Greshock
!Sample_contact_department = Translational Medicine, Oncology
!Sample_contact_institute = GlaxoSmithKline
!Sample_contact_address = 2301 Renaissance Blvd.
!Sample_contact_city = King of Prussia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19406
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM186nnn/GSM186568/suppl/GSM186568.gpr.gz
!Sample_series_id = GSE7692
!Sample_data_row_count = 2926
#ID_REF = 
#SLIDE = Slide/Exeriment Identifier
#Dia = Spot Diameter in Pixels
#F635_Median = Median foreground measurement of Cy5 channel
#F635_Mean = Mean foreground measurement of Cy5 channel
#F635_SD = Standard Deviation of foreground measurement of Cy5 channel
#B635_Median = Median background of Cy5 channel
#B635_Mean = Mean background of Cy5 channel
#B635_SD = Standard deviation of background of Cy5 channel
#PCT_GT_B635_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B635_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F635_PCT_Sat = Percent of pixels that are saturated for Cy5 channel
#F532_Median = Median foreground measurement of Cy3 channel
#F532_Mean = Mean foreground measurement of Cy3 channel
#F532_SD = Standard Deviation of foreground measurement of Cy3 channel
#B532_Median = Median background of Cy3 channel
#B532_Mean = Mean background of Cy3 channel
#B532_SD = Standard deviation of background of Cy3 channel
#PCT_GT_B532_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B532_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F532_PCT_Sat = Percent of pixels that are saturated for Cy3 channel
#Ratio_of_Medians_532_635 = Ratio of median pixel values (Cy3/Cy5)
#Ratio_of_Means_532_635 = Ratio of mean pixel values (Cy3/Cy5)
#Median_of_Ratios_532_635 = Median of all individual pixel ratios (Cy3/Cy5)
#Mean_of_Ratios_532_635 = Mean of all individual pixel ratios (Cy3/Cy5)
#Ratios_SD_532_635 = Standard deviation of all individual pixel ratios (Cy3/Cy5)
#Rgn_Ratio_532_635 = Red to green ratio
#Rgn_R2_532_635 = Red to green correlation
#F_Pixels = The number of pixels analyzed as foreground (both Cy3 and Cy5 uses same exact pixels)
#B_Pixels = The number of pixels analyzed as background (same for Cy3 and Cy5)
#Sum_of_Medians = Sum of Pixel intensity medians
#Sum_of_Means = Sum of Pixel intensity means
#Log_Ratio_532_635 = Log base 2 of the Cy3/Cy5 ratio
#F635_Median_B635 = Median Foreground intensity minus Background intensity, Cy5 channel
#F532_Median_B532 = Median Foreground intensity minus Background intensity, Cy3 channel
#F635_Mean_B635 = Mean Foreground intensity minus Background intensity, Cy5 channel
#F532_Mean_B532 = Mean Foreground intensity minus Background intensity, Cy3 channel
#Ratio_Median = Median Cy3/Cy5 ratio (using the Background corrected ratio of medians) for that specific print tip
#Cy3_corrected = Adjusted background corrected intensity (by print tip)= F532_Median_B532 / Ratio_Median_Tip
#VALUE = log(GREENsignal/REDsignal) per feature (processed signals used).
#A = mean log intensity
#Sig_var_mean_Cy3 = Signal variation from mean intsity for Cy3 channel
#Sig_var_mean_Cy5 = Signal variation from mean intsity for Cy5 channel
#Mean_med_corr_Cy3 = Mean-Median correlation for Cy3 channel
#Mean_med_corr_Cy5 = Mean-Median correlation for Cy5 channel
!sample_table_begin
ID_REF	SLIDE	Dia	F635_Median	F635_Mean	F635_SD	B635_Median	B635_Mean	B635_SD	PCT_GT_B635_1SD	PCT_GT_B635_2SD	F635_PCT_Sat	F532_Median	F532_Mean	F532_SD	B532_Median	B532_Mean	B532_SD	PCT_GT_B532_1SD	PCT_GT_B532_2SD	F532_PCT_Sat	Ratio_of_Medians_532_635	Ratio_of_Means_532_635	Median_of_Ratios_532_635	Mean_of_Ratios_532_635	Ratios_SD_532_635	Rgn_Ratio_532_635	Rgn_R2_532_635	F_Pixels	B_Pixels	Sum_of_Medians	Sum_of_Means	Log_Ratio_532_635	F635_Median_B635	F532_Median_B532	F635_Mean_B635	F532_Mean_B532	Ratio_Median	Cy3_corrected	VALUE	A	Sig_var_mean_Cy3	Sig_var_mean_Cy5	Mean_med_corr_Cy3	Mean_med_corr_Cy5
RP11-458D3	12521791	205	4493.5	4392	2258.5	449.5	583	728	96	83	0	3537	3359	1433	693	789.5	661.5	94	78.5	0	0.797	0.765	0.7605	0.771	1.3665	0.7545	0.898	316	1004	6888	6608.5	-0.3765	4044	2844	3942.5	2666	0.9335	3046.59882163899	0.853666541357607	11.6227314975848	0.587022540003781	0.513216010243594	0.939893637851766	0.979346047779878
RP11-67E18	12521791	250	24687	24797	6082.5	703.5	778.5	533.5	100	100	0	19000.5	19404.5	4681	958	986	303.5	100	100	0	0.749	0.763	0.762	0.763	1.105	0.7635	0.984	460	1232.5	42026	42540	-0.425	23983.5	18042.5	24093.5	18446.5	0.697	25885.9397417504	1.07461375546723	14.335916502372	0.755397629138926	0.754151138047238	0.976480302963927	0.985963032810732
RP11-291C17	12521791	225	16835	20170	11131	1024.5	1263.5	991.5	100	99	2.5	13716.5	16397.5	9461	1003	1101.5	550	99.5	99.5	1.5	0.804	0.8055	0.8065	0.803	1.2345	0.82	0.947	392	1420	28524	34540	-0.314	15810.5	12713.5	19145.5	15394.5	0.807	15754.0272614622	0.996776465110865	13.7878935864127	0.447780137799102	0.472503253401406	0.8414844955143	0.83834498706193
RP11-506N24	12521791	225	12463	14393	7403.5	968.5	1397.5	1606.5	99	98	0	9387.5	10523.5	4941.5	898	1126	965.5	99.5	98	0	0.734	0.719	0.725	0.7255	1.2495	0.6885	0.917	392	1089.5	19984	23050	-0.448	11494.5	8489.5	13424.5	9625.5	0.807	10519.8265179678	0.909725333795151	13.2560919934997	0.528193460271943	0.499333305287169	0.876990510755484	0.859971969196832
RP11-498J1	12521791	220	13203	13495.5	5335.5	556.5	744	1071	98.5	97.5	0	10986	11208	4586	659	702	302.5	99	98	0	0.854	0.8595	0.8405	0.8485	1.2685	0.871	0.958	392	1470	22973.5	23488	-0.24	12646.5	10327	12939	10549	0.898	11500	0.951034897356747	13.4202544478451	0.592948773627639	0.608833705845928	0.978086246071043	0.982001692824239
RP11-335F1	12521791	215	22338	21199.5	9280	705.5	795.5	496	100	100	0	13861	13902.5	5199	778	825	343.5	100	100	0	0.607	0.642	0.655	0.664	1.1835	0.6205	0.976	354	1100	34715.5	33618.5	-0.7205	21632.5	13083	20494	13124.5	0.718	18221.4484679666	0.845389949170074	14.0207872338616	0.619720570724567	0.554125311434738	0.94279757117592	0.940691827953106
RP11-501C13	12521791	215	2257	2805	1961	580.5	894	1450.5	65.5	28.5	0	2596	2897.5	1260.5	734	2258	6353.5	48.5	43	0	1.1255	0.9735	1.0805	1.0805	1.513	3.5475	0.583	354	959	3538.5	4388	0.168	1676.5	1862	2224.5	2163.5	0.807	2307.31102850062	1.39473630644541	10.7567743945325	0.546428332791038	0.277832472427863	0.854320464278395	0.743791752581533
RP11-367E10	12521791	210	17700.5	16683	4478	704.5	771.5	477	100	100	0	19666.5	18953	4484	769.5	810	335	100	100	0	1.115	1.1395	1.141	1.151	1.134	1.13	0.9775	316	1129.5	35893	34162	0.154	16996	18897	15978.5	18183.5	0.718	26318.9415041783	1.55315981354592	14.1284958560409	0.762959321227032	0.732052964520703	0.96199404652067	0.941105290369012
RP11-338J16	12521791	200	1404	1490	553	440	494	333	93	74	0	1521	1569	418	1151	1173	265	61	35	0	0.384	0.398	0.451	0.404	2.413	0.42	0.279	316	1479	1334	1468	-1.382	964	370	1050	418	0.665	556.390977443609	0.577169063738184	9.22213539837314	0.733588272785213	0.628859060402685	0.885167464114832	0.918095238095238
RP11-490K2	12521791	205	11659	11882.5	2706.5	555	659	492	100	100	0	12779	13099.5	2897	667.5	699.5	271	100	100	0	1.122	1.1325	1.136	1.133	1.177	1.1445	0.957	316	1232	23215.5	23759.5	0.1545	11104	12111.5	11327.5	12432	0.898	13487.1937639199	1.24915247021424	13.4805593911139	0.777068031698023	0.772601223623086	0.976089398830924	0.98023151250141
RP11-491P10	12521791	240	47881.5	47249.5	13492	711	792.5	391	99.5	99.5	9.5	35134.5	36371.5	10005	773.5	800.5	233	100	100	0	0.733	0.767	0.732	0.781	1.463	0.756	0.9175	460	952.5	81531.5	82136.5	-0.4535	47170.5	34361	46538.5	35598	0.697	49298.4218077475	1.05197925619496	15.2950045931203	0.724972678834795	0.714244287604792	0.96544968133965	0.979920465178989
RP11-492D3	12521791	220	15955.5	16108	6211.5	567.5	697	728	100	100	0	14003.5	14939.5	5112.5	715.5	791	526.5	100	100	0	0.8825	0.928	0.932	0.94	1.206	0.906	0.952	392	952.5	28676	29764.5	-0.186	15388	13288	15540.5	14224	0.807	16465.9231722429	1.0936258731608	13.7739291910135	0.658230877018689	0.611618804176275	0.932028554107661	0.960596554503808
RP11-541N19	12521791	220	15649	15814	6472	620	681.5	380	100	100	0	12075.5	12513.5	4520.5	754.5	780	240	100	100	0	0.7605	0.776	0.778	0.791	1.178	0.7585	0.975	392	1006	26350	26953	-0.3965	15029	11321	15194	11759	0.718	15767.4094707521	1.05896723887424	13.6420473201725	0.642498232860519	0.59403950463329	0.961351676773822	0.963354565760892
RP11-25L9	12521791	230	27687.5	29940	10794.5	663	862	1220	100	100	0.5	23425	25830	9345	891.5	1047.5	1181	100	100	0	0.837	0.8565	0.84	0.8565	1.2035	0.858	0.956	392	912.5	49558	54215.5	-0.2575	27024.5	22533.5	29277	24938.5	0.7125	31625.9649122807	1.17468997040298	14.5779059133081	0.642595068128816	0.643619749634472	0.904148101218028	0.924969889410843
RP11-518H12	12521791	225	10163	10422	3204.5	427.5	492	368.5	100	99.5	0	8365	8316.5	2409	620.5	652.5	268	100	100	0	0.898	0.881	0.8665	0.9065	1.2675	0.865	0.948	392	935	17480	17690.5	-0.197	9735.5	7744.5	9994.5	7696	0.9335	8296.19710765935	0.961731079821811	12.9598861355712	0.703705615074972	0.664820989619157	0.978374765946545	0.966798860588352
RP11-35P20	12521791	230	23817	25112.5	8690	688.5	771.5	539.5	100	100	0	15493	16339	5508	867	904	351.5	100	99.5	0	0.6265	0.6285	0.6265	0.628	1.141	0.6275	0.9835	392	879.5	37754.5	39896	-0.6835	23128.5	14626	24424	15472	0.6895	21212.4728063815	0.908442480689568	14.1499787343291	0.661241195768774	0.653113386777914	0.942675323202469	0.945639444970084
