^SAMPLE = GSM197648
!Sample_title = Carcinoma component of a progressed adenoma (P28C_s32_b21)
!Sample_geo_accession = GSM197648
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 04 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Carcinoma component of a progressed adenoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Weiss et al, Mol Pathol. 1999 Oct;52(5):243-51.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = female Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL3443
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 17328
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer from poor printing and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	219	139	104	80	1.74	2		
2	1243	110	2695	65	-1.21	0		
3	6094	105	7362	71	-0.28	0		
4	6356.5	110	7144	56.5	-0.18	0		
5	18307	183.5	17836.5	110.5	0.03	0	0.1273	0.1273
6	16297	129	15504	75.5	0.07	0	0.1273	0.1273
7	17721	127.5	15862	69.5	0.16	0	0.1273	0.1273
8	6184	68	6843	50.5	-0.15	0		
9	789	77	6176	46	-3.11	0		
10	5673	96	6674	50	-0.25	0		
11	7366.5	152	7936	72	-0.12	0	0.0358	0.0358
12	6663	137.5	7340	83	-0.15	0	0.0358	0.0358
13	6914	172.5	8292.5	100	-0.28	1		
14	3959	104	4286	50	-0.14	0	-0.0599	-0.0599
15	3313	118	3714	66	-0.19	0	-0.0599	-0.0599
16	8170	130	8549	58.5	-0.08	0	0.1273	0.1273
17	8162	112.5	8825	67	-0.12	0	0.1273	0.1273
18	8543	182.5	8638	86.5	-0.03	0	0.1273	0.1273
19	6404	188	7795	90	-0.31	0	-0.0776	-0.0776
20	6662	207	7977	92	-0.29	0	-0.0776	-0.0776
!sample_table_end
