^SAMPLE = GSM197757
!Sample_title = Adenoma (F62A_s58_b47)
!Sample_geo_accession = GSM197757
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 04 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Adenoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = protocol available on www.vumc.nl/microarrays
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = Female Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL2843
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 19200
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer frmo poor prinitng and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	1590	303	3024.5	256	-1.11	0	-0.0538	-0.0538
2	1574	301	2444	256	-0.78	0	-0.0538	-0.0538
3	1321	292	2605	256	-1.19	0	-0.0538	-0.0538
4	304	284	327.5	251	-1.94	0		
5	311.5	280	316	257	-0.91	0		
6	310	277	342.5	263	-1.27	3		
7	7164.5	281	13517	275	-0.94	0	-0.0154	-0.0154
8	6490	290	13187.5	280	-1.06	0	-0.0154	-0.0154
9	6413	290	12273	272	-0.97	0	-0.0154	-0.0154
10	397	286	473	279	-0.81	0		
11	379	289	496	294.5	-1.16	0		
12	390	290	488	309	-0.84	0		
13	989.5	292	1724	322	-1.01	0	-0.0154	-0.0154
14	1146.5	298	2315	305	-1.24	0	-0.0154	-0.0154
15	1072	295	1872	259	-1.05	0	-0.0154	-0.0154
16	353	294	390	249	-1.26	0		
17	357	290	394.5	243	-1.18	0		
18	361	292	390.5	247	-1.06	0		
19	6042	288	10962	245	-0.9	0	-0.0154	-0.0154
20	5892	285	10659.5	249	-0.89	0	-0.0154	-0.0154
!sample_table_end
